Date,Country,City,Specie,count,min,max,median,variance
3/11/2020,MN,Ulan Bator,o3,126,0.9,31.1,9,654.24
3/22/2020,MN,Ulan Bator,o3,113,2.1,43.3,9.4,1004.13
3/28/2020,MN,Ulan Bator,o3,22,13.5,22.8,19.7,90.66
6/17/2020,MN,Ulan Bator,o3,68,6.1,30.1,19.1,447.75
6/24/2020,MN,Ulan Bator,o3,46,3.8,30.3,15.2,640.58
7/15/2020,MN,Ulan Bator,o3,93,7.1,49.8,19.5,1463.26
5/25/2020,MN,Ulan Bator,o3,93,2.9,15.8,9.4,111.12
6/4/2020,MN,Ulan Bator,o3,135,1.1,28.5,9,491.93
6/15/2020,MN,Ulan Bator,o3,69,4.5,31.3,16.9,642.32
7/6/2020,MN,Ulan Bator,o3,100,3.7,50.6,15.3,1963.98
7/16/2020,MN,Ulan Bator,o3,101,6.8,45.3,12.4,1015.56
1/3/2020,MN,Ulan Bator,o3,17,0.5,6.5,5.7,71.25
1/7/2020,MN,Ulan Bator,o3,48,0.9,7.4,3.3,41.5
2/3/2020,MN,Ulan Bator,o3,120,1.7,20.2,6.5,250.34
2/4/2020,MN,Ulan Bator,o3,129,2.1,23.6,7.4,213.47
2/12/2020,MN,Ulan Bator,o3,102,0.7,35.8,9.3,1024.4
3/2/2020,MN,Ulan Bator,o3,89,6.5,51.6,15.6,1931.61
5/23/2020,MN,Ulan Bator,o3,83,3.7,24.1,9,241.25
7/17/2020,MN,Ulan Bator,o3,105,6.8,37.4,17.1,788.96
2/5/2020,MN,Ulan Bator,o3,125,0.9,26.6,7.2,403.93
2/26/2020,MN,Ulan Bator,o3,101,10.2,78.3,17.5,4589.91
4/7/2020,MN,Ulan Bator,o3,90,2.9,28.9,17.7,353.05
4/15/2020,MN,Ulan Bator,o3,107,7.8,26.6,15.9,283.72
5/9/2020,MN,Ulan Bator,o3,70,6.5,21.8,11.4,151.45
6/29/2020,MN,Ulan Bator,o3,93,0.9,30.1,10.5,415.9
7/7/2020,MN,Ulan Bator,o3,87,0.5,51.3,14.9,1907.18
2/1/2020,MN,Ulan Bator,o3,126,2.5,20.8,7,173.46
2/19/2020,MN,Ulan Bator,o3,112,0.5,56.5,7.3,2349.76
3/7/2020,MN,Ulan Bator,o3,112,0.5,18.7,7.5,260.71
4/24/2020,MN,Ulan Bator,o3,114,1.3,33.3,14.9,668.12
5/3/2020,MN,Ulan Bator,o3,88,2.5,21.3,8.5,256.71
5/13/2020,MN,Ulan Bator,o3,88,4.5,24.4,9.8,260.79
5/19/2020,MN,Ulan Bator,o3,93,3.3,24.1,7.4,259.01
4/6/2020,MN,Ulan Bator,humidity,264,18,54,26,1258.62
4/8/2020,MN,Ulan Bator,humidity,264,10.5,48.5,23,1155.14
7/2/2020,MN,Ulan Bator,humidity,264,43,87,69.5,1583.39
1/22/2020,MN,Ulan Bator,humidity,216,58,76.5,71.5,371.3
2/8/2020,MN,Ulan Bator,humidity,240,56.5,79.5,74,466.31
6/16/2020,MN,Ulan Bator,humidity,252,12,41.5,24.5,986.62
6/30/2020,MN,Ulan Bator,humidity,264,25,87,55.5,4527.97
5/22/2020,MN,Ulan Bator,humidity,264,48,86,65.5,1735.63
7/13/2020,MN,Ulan Bator,humidity,264,32.5,87,72,3394.09
4/2/2020,MN,Ulan Bator,humidity,264,11,78,44,5957.92
5/14/2020,MN,Ulan Bator,humidity,264,12.5,66.5,24.5,3522.58
7/10/2020,MN,Ulan Bator,humidity,240,76,87,82,111.07
7/19/2020,MN,Ulan Bator,humidity,264,36,87,58,3081.1
4/18/2020,MN,Ulan Bator,humidity,264,15,83,38,5431.51
5/26/2020,MN,Ulan Bator,humidity,264,19,74,30,3892.03
3/14/2020,MN,Ulan Bator,humidity,264,43.5,84,66,1454.19
4/4/2020,MN,Ulan Bator,humidity,264,6.5,78,34,6477.87
6/2/2020,MN,Ulan Bator,humidity,264,19,70,32,2679.83
7/7/2020,MN,Ulan Bator,humidity,264,25,84,38,4492.15
2/25/2020,MN,Ulan Bator,humidity,39,72,78,72,74.82
2/28/2020,MN,Ulan Bator,humidity,264,44,84,75,1279.7
3/20/2020,MN,Ulan Bator,humidity,264,38.5,88.5,76,2590.28
3/31/2020,MN,Ulan Bator,humidity,264,17,78,42.5,4814.96
5/6/2020,MN,Ulan Bator,humidity,264,11,58,32,1838.52
5/24/2020,MN,Ulan Bator,humidity,264,21,80,40,4508.22
6/11/2020,MN,Ulan Bator,humidity,264,25.5,80,34,2588.19
6/21/2020,MN,Ulan Bator,humidity,264,61,84.5,74.5,369.87
3/9/2020,MN,Ulan Bator,humidity,264,52,84,71.5,885.29
3/10/2020,MN,Ulan Bator,humidity,264,45,83,71,1147.11
3/2/2020,MN,Ulan Bator,humidity,264,61,85,68.5,516.73
5/23/2020,MN,Ulan Bator,humidity,264,23,89,40.5,6054.49
6/1/2020,MN,Ulan Bator,humidity,264,21,77.5,37.5,3959.26
6/20/2020,MN,Ulan Bator,humidity,264,24.5,74.5,42,2739.89
6/28/2020,MN,Ulan Bator,humidity,264,30,79,55,1903.98
1/10/2020,MN,Ulan Bator,humidity,240,65,79.5,76,156.07
2/1/2020,MN,Ulan Bator,humidity,240,64.5,76,70,152.77
1/24/2020,MN,Ulan Bator,humidity,240,54.5,76,68,467.76
3/17/2020,MN,Ulan Bator,humidity,264,25,85,59.5,5604.14
5/9/2020,MN,Ulan Bator,humidity,264,30,92,69,4044.21
5/18/2020,MN,Ulan Bator,humidity,264,14,80,36.5,3699.01
6/19/2020,MN,Ulan Bator,humidity,264,14,84.5,40,6167.67
1/12/2020,MN,Ulan Bator,humidity,240,67,76,70,106.45
1/21/2020,MN,Ulan Bator,humidity,216,65,77,72.5,132.89
