date, pm25, pm10, o3, no2, so2, co
4/19/15,170,48,51,21,13,18
4/20/15,128,43,43,18,12,14
4/21/15,123,89,73,48,18,18
4/22/15,156,102,89,60,19,18
4/23/15,157,194,92,81,24,25
4/24/15,181,129,49,64,21,28
4/25/15,170,167,106,64,23,27
4/26/15,199,158,101,62,23,23
4/27/15,171,145,92,42,19,26
4/28/15,169,81,56,28,20,16
4/29/15,153,105,107,24,17,17
4/30/15,170,110,117,42,24,17
5/1/15,158,91,70,39,22,16
5/2/15,163,46,60,19,14,11
5/3/15,104,75,97,29,21,15
5/4/15,154,84,63,33,23,13
5/5/15,160,101,103,41,20,16
5/6/15,194,121,133,48,17,12
5/7/15,179,108,84,39,22,13
5/8/15,174,78,51,26,17,12
5/9/15,159,84,92,40,14,15
5/10/15,157,103,89,38,22,14
5/11/15,169,91,45,24,15,7
5/12/15,128,108,67,24,11,7
5/13/15,127,102,52,33,19,14
5/14/15,139,71,39,27,15,21
5/15/15,114,67,48,24,9,13
5/16/15,134,93,99,28,11,14
5/17/15,163,82,72,33,17,18
5/18/15,156,100,52,41,9,17
5/19/15,177,139,151,57,14,18
5/20/15,198,125,90,48,13,19
5/21/15,179,87,115,40,23,15
5/22/15,134,90,110,33,20,17
5/23/15,140,100,59,34,15,13
5/24/15,169,133,138,58,20,18
5/25/15,199,189,102,74,26,29
5/26/15,216,98,95,41,23,22
5/27/15,193,87,38,31,11,14
5/28/15,172,96,72,37,15,26
5/29/15,170,49,35,22,13,13
5/30/15,126,82,83,30,11,12
5/31/15,151,124,126,49,20,15
6/1/15,185,110,85,39,28,14
6/2/15,175,54,46,20,14,12
6/3/15,129,68,45,30,13,10
6/4/15,135,69,47,28,16,10
6/5/15,149,63,66,28,15,8
6/6/15,125,94,90,43,22,11
6/7/15,144,64,53,37,22,17
6/8/15,127,49,43,28,15,8
6/9/15,97,90,80,45,20,10
6/10/15,164,82,64,39,21,11
6/11/15,140,113,62,37,18,9
6/12/15,141,152,94,54,23,10
6/13/15,153,142,58,59,25,13
6/14/15,158,73,38,30,28,12
6/15/15,134,52,31,22,20,8
6/16/15,107,96,52,31,19,12
6/17/15,153,28,26,23,17,11
6/18/15,111,57,84,26,18,12
6/19/15,130,90,114,47,12,17
6/20/15,156,93,94,37,22,13
6/21/15,166,72,87,28,13,23
6/22/15,165,61,89,28,13,15
6/23/15,149,73,110,25,22,15
6/24/15,156,57,61,29,23,10
6/25/15,128,63,59,22,11,10
6/26/15,118,75,118,33,14,19
6/27/15,128,62,58,24,11,10
6/28/15,121,68,90,37,19,17
6/29/15,119,83,77,30,14,13
6/30/15,147,47,28,16,9,9
7/1/15,110,48,109,24,9,7
7/2/15,111,90,128,47,12,14
7/3/15,180,89,64,31,11,14
7/4/15,153,67,73,51,11,12
