date, pm25, pm10, o3, no2, so2, co
2018/11/13, 82, 41, , 28, , 
2018/11/14, 97, 37, , 26, , 
2018/11/15, 91, 13, , 13, , 
2018/11/16, 46, 14, , 11, , 
2018/11/17, 38, 11, , 11, , 
2018/11/18, 38, 16, , 10, , 
2018/11/19, 50, 10, , 11, , 
2018/11/20, 34, 3, , 10, , 
2018/11/21, 9, 23, , 32, , 
2018/11/22, 65, 35, , 34, , 
2018/11/23, 91, 35, , 31, , 
2018/11/24, 89, 30, , 33, , 
2018/11/25, 70, 17, , 22, , 
2018/11/26, 55, 18, , , , 
2018/11/27, 50, 16, 14, 36, , 
2018/11/28, 46, 12, 22, 25, , 
2018/11/29, 34, 14, 24, 33, , 
2018/11/30, 46, 48, 10, 46, , 
2018/12/1, 112, 24, , 26, , 
2018/12/2, 70, 49, , 29, , 
2018/12/3, 132, 32, , 39, , 
2018/12/4, 91, 37, , 29, , 
2018/12/5, 87, 43, , 44, , 
2018/12/6, 102, 35, , 27, , 
2018/12/7, 91, 40, , 38, , 
2018/12/8, 99, 16, , 33, , 
2018/12/9, 50, 30, , 33, , 
2018/12/10, 70, 47, , 45, , 
2018/12/11, 109, 32, , 37, , 
2018/12/12, 82, 59, , 49, , 
2018/12/13, 152, 23, , 38, , 
2018/12/14, 68, 12, , , , 
2018/12/15, 46, 16, , 33, , 
2018/12/16, 57, 50, , 35, , 
2018/12/17, 134, 10, , 32, , 
2018/12/18, 34, , , 46, , 
2018/12/22, 97, 37, , 42, , 
2018/12/23, 91, 52, , 30, , 
2018/12/24, 129, 19, , 25, , 
2018/12/25, 53, 19, , 31, , 
2018/12/26, 57, 35, 15, 32, , 
2018/12/27, 93, 52, 6, 36, , 
2018/12/28, 132, 33, 7, 34, , 
2018/12/29, 87, 51, 5, 28, , 
2018/12/30, 127, 50, , 36, , 
2018/12/31, 132, , , , , 
2018/7/2, 38, 13, 57, 15, 3, 
2018/7/3, 34, 23, 53, 14, 2, 
2018/7/4, 55, 30, 43, 13, 1, 
2018/7/5, 57, 24, 45, 16, 1, 
2018/7/6, 57, 20, 43, 19, 4, 
2018/7/7, 50, 16, 50, 12, 1, 
2018/7/8, 42, 13, 51, 12, 1, 
2018/7/9, 42, 14, 53, 27, 1, 
2018/7/10, 38, 17, 62, 30, 2, 
2018/7/11, 50, 20, 49, 20, 2, 
2018/7/12, 50, 22, 50, 15, 2, 
2018/7/13, 46, 18, 60, 13, 2, 
2018/7/14, 50, 19, 60, 17, 2, 
2018/7/15, 46, 19, 50, 18, 2, 
2018/7/16, 53, 19, 45, 17, 2, 
2018/7/17, 53, 13, 49, 19, 2, 
2018/7/18, 34, 17, 65, 15, 2, 
2018/7/19, 46, 18, 64, 15, , 
2018/7/20, 55, 18, 51, 17, , 
2018/7/21, 50, 17, 45, 18, 2, 
2018/7/22, 46, 18, 46, 8, 2, 
2018/7/23, 50, 11, 50, 12, 3, 
2018/7/24, 34, 16, 65, 26, 2, 
2018/7/25, 50, 19, 59, 27, 4, 
2018/7/26, 55, 20, 61, 25, 2, 
2018/7/27, 57, 19, 63, 18, 2, 
2018/7/28, 53, 20, 46, 9, 2, 
2018/7/29, 59, 20, 47, 12, 2, 
2018/7/30, 57, 21, 57, 21, 2, 
2018/7/31, 63, , 75, 26, 4, 
2018/8/2, 63, 24, 78, 27, 2, 
2018/8/3, 63, 17, 44, 11, 2, 
2018/8/4, 53, 20, 57, 17, 2, 
2018/8/5, 55, 18, 56, 8, 2, 
2018/8/6, 55, 21, 74, 27, 2, 
2018/8/7, 61, 20, 72, 21, 1, 
2018/8/8, 57, 17, 58, 16, , 
2018/8/9, 53, 19, 52, 18, 1, 
2018/8/10, 53, 16, 47, 12, , 
2018/8/11, 50, 15, 45, 9, , 
2018/8/12, 34, 13, 49, 12, , 
2018/8/13, 30, 14, 44, 18, 1, 
2018/8/14, 34, 12, 40, 15, 1, 
2018/8/15, 30, 7, 40, 6, , 
2018/8/16, 17, 9, 44, 6, 2, 
2018/8/17, 25, 11, 49, 15, , 
2018/8/18, 34, 14, 50, 13, 1, 
2018/8/19, 42, 20, 52, 17, 1, 
2018/8/20, 61, 23, 62, 26, 1, 
2018/8/21, 65, 20, 58, 22, 1, 
2018/8/22, 59, 20, 49, 31, 1, 
2018/8/23, 61, 20, 57, 25, 1, 
2018/8/24, 59, 21, 63, 19, 1, 
2018/8/25, 59, 24, 43, 17, 1, 
2018/8/26, 55, 10, 34, 12, 1, 
2018/8/27, 17, 6, 41, 8, 1, 
2018/8/28, 17, 10, 37, 19, 1, 
2018/8/29, 25, 13, 44, 28, 1, 
2018/8/30, 34, 18, 46, 27, 1, 
2018/8/31, 50, 20, 37, 21, 1, 
2018/9/1, 50, 15, 33, 15, 1, 
2018/9/2, 34, 9, 38, 9, 1, 
2018/9/3, 25, 11, 39, 17, 1, 
2018/9/4, 30, 14, 43, 24, 1, 
2018/9/5, 38, 17, 47, 26, 1, 
2018/9/6, 50, 17, 50, 26, 3, 
2018/9/7, 46, 16, 43, 22, 1, 
2018/9/8, 46, 16, 45, 10, 1, 
2018/9/9, 46, 14, 51, 12, 1, 
